2020-08-05 08:30:05.265 INFO  main [org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter:?]-Looking for @ControllerAdvice: org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@b1712f3: startup date [Wed Aug 05 08:29:41 CST 2020]; root of context hierarchy
2020-08-05 08:30:05.375 INFO  main [org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping:?]-Mapped "{[/bi/start]}" onto public void com.tbb.controller.BIController.start()
2020-08-05 08:30:05.376 INFO  main [org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping:?]-Mapped "{[/bi/selectAll]}" onto public void com.tbb.controller.BIController.selectAll()
2020-08-05 08:30:05.376 INFO  main [org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping:?]-Mapped "{[/bi/tqdj]}" onto public void com.tbb.controller.BIController.tqdj()
2020-08-05 08:30:05.376 INFO  main [org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping:?]-Mapped "{[/bi/dd]}" onto public void com.tbb.controller.BIController.dd()
2020-08-05 08:30:05.376 INFO  main [org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping:?]-Mapped "{[/bi/cdmxmx]}" onto public void com.tbb.controller.BIController.cdmxmx()
2020-08-05 08:30:05.377 INFO  main [org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping:?]-Mapped "{[/bi/wlyy]}" onto public void com.tbb.controller.BIController.wlyy()
2020-08-05 08:30:05.377 INFO  main [org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping:?]-Mapped "{[/openApi/test]}" onto public void com.tbb.util.OpenApiSDK.test()
2020-08-05 08:30:05.384 INFO  main [org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping:?]-Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
2020-08-05 08:30:05.385 INFO  main [org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping:?]-Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2020-08-05 08:30:05.432 INFO  main [org.springframework.web.servlet.handler.SimpleUrlHandlerMapping:?]-Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2020-08-05 08:30:05.432 INFO  main [org.springframework.web.servlet.handler.SimpleUrlHandlerMapping:?]-Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2020-08-05 08:30:05.937 INFO  main [org.springframework.jmx.export.annotation.AnnotationMBeanExporter:?]-Registering beans for JMX exposure on startup
2020-08-05 08:30:05.938 INFO  main [org.springframework.jmx.export.annotation.AnnotationMBeanExporter:?]-Bean with name 'dataSource' has been autodetected for JMX exposure
2020-08-05 08:30:05.945 INFO  main [org.springframework.jmx.export.annotation.AnnotationMBeanExporter:?]-Located MBean 'dataSource': registering with JMX server as MBean [com.alibaba.druid.pool:name=dataSource,type=DruidDataSource]
2020-08-05 08:30:06.020 INFO  main [org.springframework.boot.web.embedded.tomcat.TomcatWebServer:?]-Tomcat started on port(s): 666 (http) with context path ''
2020-08-05 08:30:06.025 INFO  main [com.tbb.TbBiApplication:?]-Started TbBiApplication in 29.142 seconds (JVM running for 41.658)
2020-08-05 08:30:10.074 INFO  http-nio-666-exec-1 [org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]:?]-Initializing Spring FrameworkServlet 'dispatcherServlet'
2020-08-05 08:30:10.074 INFO  http-nio-666-exec-1 [org.springframework.web.servlet.DispatcherServlet:?]-FrameworkServlet 'dispatcherServlet': initialization started
2020-08-05 08:30:10.110 INFO  http-nio-666-exec-1 [org.springframework.web.servlet.DispatcherServlet:?]-FrameworkServlet 'dispatcherServlet': initialization completed in 36 ms
2020-08-05 08:30:10.175 INFO  http-nio-666-exec-1 [com.tbb.controller.BIController:?]-start!
2020-08-05 08:30:15.945 INFO  http-nio-666-exec-2 [com.tbb.controller.BIController:?]-start!
2020-08-05 08:30:20.337 WARN  http-nio-666-exec-1 [com.alibaba.druid.pool.DruidDataSource:?]-not full timeout retry : 1
